Артикул	Бренд	Наименование	Тип изделия	ОПТОВАЯ ЦЕНА руб.	РОЗНИЧНАЯ ЦЕНА руб.	Коллекция	Ширина основного изделия .мм	Высота основного изделия .мм	Глубина основного изднлия .мм	Высота тумбы  без раковины, мм	Ширина тумбы  без раковины, мм	Глубина тумбы  без раковины и ручек, мм	Материал корпуса	Покрытие корпуса	Материал фасада	Покрытие фасада	Цвет	Материал раковины	Материал столешницы	Подсветка	Тип лампы	Мощность лампы	Наличие бельевой корзины	Фурнитура	Петли	Доводчики	Направляющие 	Push-to-open	Система хранения	Способ монтажа	Что внутри упаковки	Ширина упаковки, м	Высота упаковки, м	Глубина упаковки, м	Объём, м. куб.	Вес брутто (коробка №1), кг 	Штрихкод	Что внутри упаковки (Коробка №2)	Ширина упаковки (коробка №2), м	Высота упаковки (коробка №2), м	Глубина упаковки  (коробка №2), м	Вес брутто (коробка №2), кг	Объём (коробка №2), м. куб	Штрихкод груз. Места  (коробка №2)	Что внутри упаковки (Коробка №3)	Ширина упаковки (коробка№3), м	Высота упаковки (коробка№3), м	Глубина упаковки (коробка№3), м	Вес брутто грузового места (коробка№3), кг	Объём (коробка №3), м. куб	Штрихкод груз. места	Общий вес ,кг	Общий Объём , м. куб	Количество коробок	Страна происхождения	Гарантия	Дополнительное описание	Инструкция	Схема подключения	Ссылка на фотографии	Схема	Видеоролик	Доп. Фотография 0	Доп. Фотография 1	Доп. Фотография 2	Доп. Фотография 3	Доп. Фотография 4	Доп. Фотография 5	Доп. Фотография 6	Доп. Фотография 7	Доп. Фотография 8	Доп. Фотография 9	Доп. Фотография 10	Доп. Фотография 11	Доп. Фотография 12	Доп. Фотография 13	Доп. Фотография 14
00003131979	Comforty 	COMFORTY. Зеркало-шкаф "Марио-60" сосна лоредо	Зеркало-шкаф	5000	6900	Марио	600	700	140				ВЛДСП	матовое			Сосна лоредо			Нет	-	-	-	-	Hettich/Comforty	Hettich/Comforty	-	-	1 створка + 1 полочка	Подвесной	Зеркало-шкаф	0,77	0,66	0,21	0,107	16,6	4630015252864	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16,6	-	1	Россия	2 года	Название: Зеркало шкаф Артикул: Марио 60 (правое) Варианты цвета: Сосна Лоредо Габариты (ШхВхГ): 600*700*140 мм Зеркальное высококачественное полотно с амальгамой на основе серебра. За зеркальной дверцей скрывается одна горизонтальная полка.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	0	https://disk.yandex.ru/d/bkqTyMkG3ouagw	http://www.domotex.ru/upload/iblock/6cc/bwo48x4jkmq0vqm9sskmlui5av9hyk7g.jpg	0	https://cdn1.ozone.ru/s3/multimedia-i/6139453182.jpg	https://cdn1.ozone.ru/s3/multimedia-v/6139451899.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6139451973.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6359623866.jpg											
00-00004159	Comforty 	COMFORTY. Зеркало-шкаф "Марио-75" дуб темный	Зеркало-шкаф	8300	11600	Марио	750	832	154				ВЛДСП	матовое	ВЛДСП	матовое	Дуб темный			2 точечных светильника	галогеновая	2-Вт*2	-	Хром	Hettich/Comforty	Hettich/Comforty	-	-	1 створка + 1 полочка	Подвесной	Зеркало-шкаф	0,82	0,91	0,23	0,172	20,8	4630100141301	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20,8	-	1	Россия	2 года	Название: Зеркало-шкаф Артикул: Марио 75 (правое) Варианты цвета: дуб темный Материал корпуса и фасада: влагостойкое ЛДСП Габариты (ШхВхГ): 750*832*154 мм Зеркальное высококачественное полотно с амальгамой на основе серебра. Створка мебельного элемента оснащена петлями с плавным закрыванием. За створкой две горизонтальные полки. В верхнюю полку встроены два точечных светильника и выключатель.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	0	https://disk.yandex.ru/d/YXILY7ceE9GUWQ	http://www.domotex.ru/upload/iblock/87a/qj3tp8tg1f1u3blowkhel0zma02buk8n.jpg	0	https://cdn1.ozone.ru/s3/multimedia-p/6139453333.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6139453197.jpg	https://cdn1.ozone.ru/s3/multimedia-m/6139454086.jpg	https://cdn1.ozone.ru/s3/multimedia-o/6139453404.jpg	https://cdn1.ozone.ru/s3/multimedia-v/6139453339.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6139453373.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6139453212.jpg	https://cdn1.ozone.ru/s3/multimedia-j/6359626303.jpg							
00003121624	Comforty 	COMFORTY. Зеркало-шкаф "Марио-75" сосна лоредо	Зеркало-шкаф	8100	11300	Марио	750	832	154				ВЛДСП	матовое	ВЛДСП	матовое	Сосна лоредо			2 точечных светильника	галогеновая	2-Вт*2	-	Хром	Hettich/Comforty	Hettich/Comforty	-	-	1 створка + 1 полочка	Подвесной	Зеркало-шкаф	0,82	0,91	0,23	0,172	20,8	4660002489157	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20,8	-	1	Россия	2 года	Название: Зеркало шкаф Артикул: Марио 75 (правое) Варианты цвета: Сосна Лоредо Материал корпуса и фасада: влагостойкое ЛДСП Габариты (ШхВхГ): 750*832*154 мм Зеркальное высококачественное полотно с амальгамой на основе серебра. Створка мебельного элемента оснащена петлями с плавным закрыванием. За створкой две горизонтальные полки. В верхнюю полку встроены два точечных светильника и выключатель.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	0	https://disk.yandex.ru/d/gnm-5XQT2EsOEQ	http://www.domotex.ru/upload/iblock/504/cqqz8233mc71720suqvq69yy2cuj6z2j.jpg	0	https://cdn1.ozone.ru/s3/multimedia-i/6139453254.jpg	https://cdn1.ozone.ru/s3/multimedia-r/6139453191.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6139453209.jpg	https://cdn1.ozone.ru/s3/multimedia-j/6359626303.jpg											
00-00005206	Comforty 	COMFORTY. Тумба-умывальник "Марио-60" дуб дымчатый с раковиной "Quadro 60"	Тумбы-умывальники	12900	18000	Марио	610	855	470	834	574	450	ВЛДСП	матовое	ВЛДСП	матовое	Дуб дымчатый	Санфарфор			-	-	Нет	Хром					2 створки	Напольный	Тумба	0,62	0,81	0,52	0,41	38,2		Раковина	0,63	0,51	0,21	17	0,067	4640013393575	-	-	-	-	-	-	-	55,2	0,477	2	Россия	2 года	Название: Тумба-умывальник Артикул: Марио 60 Варианты цвета: Дуб дымчатый Материал корпуса и фасада: влагостойкое ЛДСП Габариты (ШхВхГ): 610*855*470 мм Комплектация: керамическая раковина Quadro 60 (санфарфор)	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	http://www.domotex.ru/files/Schema_montazha_Mario_60_2021.pdf	https://disk.yandex.ru/d/ctV96Dk0bkEJVQ	http://www.domotex.ru/upload/iblock/b4e/x1vv4cschg5506sg7w0jn14h4y4j4vzr.jpg	https://www.youtube.com/embed/u6Zd_O1_cb4	https://cdn1.ozone.ru/s3/multimedia-8/6227423744.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6227423737.jpg	https://cdn1.ozone.ru/s3/multimedia-e/6227423750.jpg	https://cdn1.ozone.ru/s3/multimedia-3/6227423739.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6227423747.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6227423752.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6227423749.jpg	https://cdn1.ozone.ru/s3/multimedia-f/6227423751.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6227423743.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6227423745.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6359623866.jpg				
00-00004155	Comforty 	COMFORTY. Тумба-умывальник "Марио-60" дуб темный с раковиной "Quadro 60"	Тумбы-умывальники	13000	18200	Марио	610	870	470	834	574	450	ВЛДСП	матовое	ВЛДСП	матовое	Дуб темный	Санфарфор			-	-	Нет	Хром					2 створки	Напольный	Тумба	0,62	0,81	0,52	0,41	38,2		Раковина	0,63	0,51	0,21	17	0,067	4640013393575	-	-	-	-	-	-	-	55,2	0,477	2	Россия	2 года	Название: Тумба-умывальник Артикул: Марио 60 Варианты цвета: Дуб темный Материал корпуса и фасада: влагостойкое ЛДСП Габариты (ШхВхГ): 610*855*470 мм Комплектация: керамическая раковина Quadro 60 (санфарфор)	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	http://www.domotex.ru/files/Schema_montazha_Mario_60_2021_2.pdf	https://disk.yandex.ru/d/1jhIPJqE3q_iWg	http://www.domotex.ru/upload/iblock/7ed/3ej99yf50t0msa6jqt4c509mhbr29gpb.jpg	https://www.youtube.com/embed/UOBvdjD2HfU	https://cdn1.ozone.ru/s3/multimedia-0/6227260296.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6227260267.jpg	https://cdn1.ozone.ru/s3/multimedia-y/6227260330.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6227260303.jpg	https://cdn1.ozone.ru/s3/multimedia-m/6227260318.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6227260305.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6227260312.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6227260314.jpg	https://cdn1.ozone.ru/s3/multimedia-a/6227260342.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6227260317.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6359623866.jpg				
00003131980	Comforty 	COMFORTY. Тумба-умывальник "Марио-60" сосна лоредо с раковиной "Quadro 60"	Тумбы-умывальники	12200	17000	Марио	610	870	470	834	574	450	ВЛДСП	матовое	ВЛДСП	матовое	Сосна лоредо	Санфарфор			-	-	Нет	Хром					2 створки	Напольный	Тумба	0,62	0,81	0,52	0,41	38,2		Раковина	0,63	0,51	0,21	17	0,067	4640013393575	-	-	-	-	-	-	-	55,2	0,477	2	Россия	2 года	Название: Тумба-умывальник Артикул: Марио 60 Варианты цвета: Сосна Лоредо Материал корпуса и фасада: влагостойкое ЛДСП Габариты (ШхВхГ): 610*855*470 мм Комплектация: раковина Quadro 60 (санфарфор)	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	http://www.domotex.ru/files/Schema_montazha_Mario_60_2021_3.pdf	https://disk.yandex.ru/d/4uT4CxbhKmgT_Q	http://www.domotex.ru/upload/iblock/6d5/uwqv6mm3x2td7erbheynb912x25lg1vv.jpg	0	https://cdn1.ozone.ru/s3/multimedia-e/6139451918.jpg	https://cdn1.ozone.ru/s3/multimedia-v/6139451899.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6139451973.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6139452001.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6227259628.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6139452021.jpg	https://cdn1.ozone.ru/s3/multimedia-m/6139452034.jpg	https://cdn1.ozone.ru/s3/multimedia-s/6139452076.jpg	https://cdn1.ozone.ru/s3/multimedia-m/6139452106.jpg	https://cdn1.ozone.ru/s3/multimedia-z/6139452155.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6359623866.jpg				
00-00004157	Comforty 	COMFORTY. Тумба-умывальник "Марио-75" дуб темный с раковиной "Quadro 75"	Тумбы-умывальники	19300	27000	Марио	760	855	465	834	716	450	ВЛДСП	матовое	ВЛДСП	матовое	Дуб темный	Санфарфор			-	-	Нет	Хром					1 створка + 3 выкатных ящика	Напольный	Тумба	0,8	0,81	0,5	0,324	37		Раковина	0,8	0,22	0,52	17,2	0,09152	4610018180494	-	-	-	-	-	-	-	54,2	0,416	2	Россия	2 года	Название: Тумба-умывальник Артикул: Марио 75 Варианты цвета: Дуб темный Материал корпуса и фасада: влагостойкое ЛДСП Габариты (ШхВхГ): 750*855*465 мм Комплектация: раковина Quadro 75 (санфарфор) Напольная тумба-умывальник с одной створкой и тремя ящиками. Створка оснащена системой плавного закрывания. За створкой одна горизонтальная полка.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	0	https://disk.yandex.ru/d/YIH4xbMdqf8w2w	http://www.domotex.ru/upload/iblock/699/od2owzxcmax5b7ygfb0vw6izjd96ypx9.jpg	https://www.youtube.com/embed/lH5WJ2OXNPA	https://cdn1.ozone.ru/s3/multimedia-m/6227261506.jpg	https://cdn1.ozone.ru/s3/multimedia-4/6227261488.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6227261501.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6227261500.jpg	https://cdn1.ozone.ru/s3/multimedia-o/6227261508.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6227261509.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6227261507.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6227261496.jpg	https://cdn1.ozone.ru/s3/multimedia-j/6227261503.jpg	https://cdn1.ozone.ru/s3/multimedia-r/6357259887.jpg					
00004136349	Comforty 	COMFORTY. Тумба-умывальник "Марио-75" сосна лоредо с раковиной "Quadro 75"	Тумбы-умывальники	19000	26500	Марио	760	855	465	834	716	450	ВЛДСП	матовое	ВЛДСП	матовое	Сосна лоредо	Санфарфор			-	-	Нет	Хром					1 створка + 3 выкатных ящика	Напольный	Тумба	0,8	0,81	0,5	0,324	37		Раковина	0,8	0,22	0,52	17,2	0,09152	4610018180494	-	-	-	-	-	-	-	0	0,416	2	Россия	2 года	Название: Тумба-умывальник Артикул: Марио 75 Варианты цвета: Сосна Лоредо Материал корпуса и фасада: влагостойкое ЛДСП Габариты (ШхВхГ): 750*855*465 мм Комплектация: раковина Quadro 75 (санфарфор) Напольная тумба-умывальник с одной створкой и тремя ящиками. Створка оснащена системой плавного закрывания. За створкой одна горизонтальная полка.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	http://www.domotex.ru/files/Informatsiya_dlya_montazha_izdeliya_T_Mario_75.pdf	https://disk.yandex.ru/d/0_fkJVk6K1DCSQ	http://www.domotex.ru/upload/iblock/5d4/csaovoyafnsf3ib7xcakcmf0dkmcanrn/13723141654687784.jpg	0	https://cdn1.ozone.ru/s3/multimedia-0/6227259612.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6227259629.jpg	https://cdn1.ozone.ru/s3/multimedia-y/6227259610.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6227259621.jpg	https://cdn1.ozone.ru/s3/multimedia-j/6227259631.jpg	https://cdn1.ozone.ru/s3/multimedia-f/6227259627.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6227259628.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6227259623.jpg	https://cdn1.ozone.ru/s3/multimedia-j/6359626303.jpg						
00-00004160	Comforty 	COMFORTY. Шкаф-колонна "Марио-40" дуб темный	Шкаф-колонна	11500	16000	Марио	404	1902	300				ВЛДСП	матовое	ВЛДСП	матовое	Дуб темный				-	-	Нет	Хром	Hettich/Comforty	Hettich/Comforty	-	-	2 створки + 1 полочка	Напольный	Шкаф-колонна	0,35	1,88	0,44	0,29	38,5	4630100141288	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38,5	-	1	Россия	2 года	Название: Шкаф-колонна Артикул: Марио 40 (правая) Варианты цвета: Дуб темный Материал: влагостойкое ЛДСП Габариты (ШхВхГ): 404*1902*300 мм Шкаф-колонна отличное решение для хранения разных предметов необходимых в ванной комнате. За дверцами по одной горизонтальной полке.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	0	https://disk.yandex.ru/d/faFxBNg59ZmR9g	http://www.domotex.ru/upload/iblock/088/sbhp9mze6lwnayezbl2hulcse7xuulxz.jpg	0	https://cdn1.ozone.ru/s3/multimedia-7/6139453999.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6139454009.jpg	https://cdn1.ozone.ru/s3/multimedia-k/6139454048.jpg	https://cdn1.ozone.ru/s3/multimedia-m/6139454086.jpg	https://cdn1.ozone.ru/s3/multimedia-y/6139454098.jpg	https://cdn1.ozone.ru/s3/multimedia-q/6139454126.jpg	https://cdn1.ozone.ru/s3/multimedia-j/6139454119.jpg								
00003121676	Comforty 	COMFORTY. Шкаф-колонна "Марио-40" сосна лоредо	Шкаф-колонна	10300	14400	Марио	404	1902	300				ВЛДСП	матовое	ВЛДСП	матовое	Сосна лоредо				-	-	-	-	Hettich/Comforty	Hettich/Comforty	-	-	2 створки + 1 полочка	Напольный	Шкаф-колонна	0,35	1,88	0,44	0,29	38,5	4660002489171	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38,5	-	1	Россия	2 года	Название: Шкаф-колонна Артикул: Марио 40 (правая) Варианты цвета: Сосна лоредо Материал: влагостойкое ЛДСП Габариты (ШхВхГ): 404*1902*300 мм Шкаф-колонна отличное решение для хранения разных предметов необходимых в ванной комнате. За дверцами по одной горизонтальной полке.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	0	https://disk.yandex.ru/d/0RdvxMfqeGcK2g	http://www.domotex.ru/upload/iblock/90d/9igwvrb0x936o8rs9xjnn2cvw5z3g1hp.jpg	0	https://cdn1.ozone.ru/s3/multimedia-8/6139454036.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6139454051.jpg	https://cdn1.ozone.ru/s3/multimedia-6/6139454070.jpg	https://cdn1.ozone.ru/s3/multimedia-s/6139454092.jpg	https://cdn1.ozone.ru/s3/multimedia-r/6139454091.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6139454118.jpg	https://cdn1.ozone.ru/s3/multimedia-o/6139454124.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6139454130.jpg							
00-00000833	Comforty 	COMFORTY. Тумба-умывальник "Матэ-40" дуб дымчатый с раковиной CREA 40, P-UM-CRE40/1	Тумбы-умывальники	16000	22300	Матэ	400	700	220				ВЛДСП	матовое	ВЛДСП	матовое	Дуб дымчатый	Санфарфор			-	-	Нет	черный металл					1 створка+1 ниша	Подвесной	Тумба	0,44	0,67	0,27	0,08	10,5		Раковина	0,41	0,23	0,16	3,8	0,015	5902115723896	-	-	-	-	-	-	-	14,3	0,095	2	Россия	2 года	Название: Тумба-умывальник Артикул: Матэ 40 Варианты цвета корпуса и фасада: дуб дымчатый  Материал корпуса: влагостойкая ЛДСП Габариты (ШхВхГ): 400*700*220 мм Комплектация: накладная раковина Cersanit Crea 40 Компактная подвесная тумба с распашной дверцей. Петли оснащены системой плавного закрывания. За дверцей одна горизонтальная полка. Корпус и фасад с тактильным эффектом натуральной древесины. В комплекте асимметричная раковина с отверстием под смеситель справа. Тумба подготовлена для подключения водоснабжения снизу.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	http://www.domotex.ru/files/Schema-montazha-Mate40_2.pdf	https://disk.yandex.ru/d/l4j_TkgJ_C-q-Q	http://www.domotex.ru/upload/iblock/64e/uuydam4yps9bwbexksjkme21q7ywa50l.jpg	https://www.youtube.com/embed/hDQKpFG2cd8	https://cdn1.ozone.ru/s3/multimedia-l/6139451889.jpg	https://cdn1.ozone.ru/s3/multimedia-m/6139452178.jpg	https://cdn1.ozone.ru/s3/multimedia-s/6139451968.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6139452009.jpg	https://cdn1.ozone.ru/s3/multimedia-0/6139452048.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6139452061.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6139452096.jpg	https://cdn1.ozone.ru/s3/multimedia-6/6139452198.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6139452249.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6139452225.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6359625263.jpg				
00-00000832	Comforty 	COMFORTY. Тумба-умывальник "Матэ-40" дуб тёмно-коричневый с раковиной CREA 40, P-UM-CRE40/1	Тумбы-умывальники	15900	22200	Матэ	400	700	220				ВЛДСП	матовое	ВЛДСП	матовое	Дуб темно-коричневый	Санфарфор			-	-	Нет	черный металл					1 створка+1 ниша	Подвесной	Тумба	0,44	0,67	0,27	0,08	10,5		Раковина	0,41	0,23	0,16	3,8	0,015	5902115723896	-	-	-	-	-	-	-	14,3	0,095	2	Россия	2 года	Название: Тумба-умывальник Артикул: Матэ 40 Варианты цвета корпуса и фасада: дуб темно-коричневый Материал корпуса: влагостойкая ЛДСП Габариты (ШхВхГ): 400*700*220 мм Комплектация: накладная раковина Cersanit Crea 40 Компактная подвесная тумба с распашной дверцей. Петли оснащены системой плавного закрывания. За дверцей одна горизонтальная полка. Корпус и фасад с тактильным эффектом натуральной древесины. В комплекте асимметричная раковина с отверстием под смеситель справа. Тумба подготовлена для подключения водоснабжения снизу.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	http://www.domotex.ru/files/Schema-montazha-Mate40.pdf	https://disk.yandex.ru/d/uEcXTU22llRk2A		https://www.youtube.com/embed/BWBTlLwRC5c	https://cdn1.ozone.ru/s3/multimedia-3/6227258931.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6227258941.jpg	https://cdn1.ozone.ru/s3/multimedia-w/6227258924.jpg	https://cdn1.ozone.ru/s3/multimedia-0/6227258928.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6227258925.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6227258936.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6227258940.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6227258937.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6227258939.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6227258929.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6359625263.jpg				
00004136261	Comforty 	COMFORTY. Зеркало-шкаф "Милан-120" белый глянец	Зеркало-шкаф	9000	12600	Милан	1180	800	160				ВЛДСП		МДФ		Белый			Нет	-	-	-	-	Hettich/Comforty	Hettich/Comforty	-	-	1 створка+2 полочки	Подвесной	Зеркало-шкаф	1,25	0,87	0,22	0,239	27,5	4630015254103	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27,5	-	1	Россия	2 года	Название: Зеркало шкаф Артикул: Милан 120 Варианты цвета корпуса: Белый глянец Материал корпуса: влагостойкое ЛДСП Цвет фасада: Белый глянец Материал фасада: Материфл фасада:МДФ Габариты (ШхВхГ): 1180*800*160 мм Зеркальное высококачественное полотно с амальгамой на основе серебра. Створка мебельного элемента оснащена петлями с плавным закрыванием. За дверцей одна горизонтальная полка.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	http://www.domotex.ru/files/Informatsiya_dlya_montazha_komplekta_MILAN_120.pdf	https://disk.yandex.ru/d/1w2wyLIjlOhTYg	http://www.domotex.ru/upload/iblock/3af/n4fecg73hnucue1z94rdunfmnnwp45df.jpg	0	https://cdn1.ozone.ru/s3/multimedia-1/6256785193.jpg	https://cdn1.ozone.ru/s3/multimedia-0/6256785192.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6256785199.jpg	https://cdn1.ozone.ru/s3/multimedia-6/6256785198.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6256785197.jpg	https://cdn1.ozone.ru/s3/multimedia-6/6256780554.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6256785189.jpg								
00004137130	Comforty 	COMFORTY. Зеркало-шкаф "Милан-90" белый глянец	Зеркало-шкаф	7700	10700	Милан	880	800	160				ВЛДСП		МДФ		Белый			Нет	-	-	-	-	Hettich/Comforty	Hettich/Comforty	-	-	1 створка+2 полочки	Подвесной	Зеркало-шкаф	0,94	0,87	0,22	0,18	23,2	4630015254462	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23,2	-	1	Россия	2 года	Название: Зеркало шкаф Артикул: Милан 90 Варианты цвета корпуса: Белый глянец Материал корпуса: влагостойкое ЛДСП Цвет фасада: Белый глянец Материал фасада: Материфл фасада:МДФ Габариты (ШхВхГ): 880*800*160 мм Зеркало-шкаф с одной створкой и пространствами для открытого хранения. Створка оснащена системой плавного закрывания. Две горизонтальные полки продолжаются и за створкой. Фасад покрыт белой глянцевой эмалью	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	http://www.domotex.ru/files/Informatsiya_dlya_montazha_komplekta_MILAN_90.pdf	https://disk.yandex.ru/d/Mxa7stkCo63qDg	http://www.domotex.ru/upload/iblock/067/6dp6lrnazq4p0d18pm03jmum83ck6oji.jpg	0	https://cdn1.ozone.ru/s3/multimedia-v/6256786195.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6256786197.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6256786193.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6256781309.jpg	https://cdn1.ozone.ru/s3/multimedia-w/6256786196.jpg	https://cdn1.ozone.ru/s3/multimedia-y/6256781302.jpg	https://cdn1.ozone.ru/s3/multimedia-s/6256786192.jpg								
00-00007900	Comforty 	Тумба-умывальник Comforty Милан-90 белая со светло-серой столешницей с раковиной Comforty 78189	Тумбы-умывальники	27600	38600	Милан	900	550	520	400	880	508	ВЛДСП	матовое	МДФ		Белый глянец		Керамогранит		-	-	-	-					-	-	Тумба	0,94	0,47	0,58	0,26	33		Раковина	0,64	0,4	0,14	11	0,036	4630015256596	Столешница	1,03	0,07	0,71	33,3	0,05	4630100142483	77,3	0,346	3	Россия	2 года	Название: Тумба-умывальник Артикул: Милан 90 Варианты цвета корпуса: Белый глянец Материал корпуса: влагостойкое ЛДСП Цвет фасада: Белый глянец Материал фасада: МДФ Габариты (ШхВхГ): 900*550*520 мм Комплектация: столешница из керамогранита, накладная раковина COMFORTY 78189 Подвесная тумба-умывальник с одним большим выкатным ящиком, оснащенным системой плавного закрывания и внутренним ящиком оснащенным системой push-to-open (открытие при нажатии). Фасады покрыты белой глянцевой эмалью	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf		https://disk.yandex.ru/d/XN-khBGFagrN5A		http://www.domotex.ru/images/0/47429571634275366.jpg	https://cdn1.ozone.ru/s3/multimedia-w/6256781300.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6227155729.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6227155737.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6227155733.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6256782529.jpg	https://cdn1.ozone.ru/s3/multimedia-j/6227155735.jpg	https://cdn1.ozone.ru/s3/multimedia-f/6227155731.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6227155732.jpg	https://cdn1.ozone.ru/s3/multimedia-k/6227155736.jpg	https://cdn1.ozone.ru/s3/multimedia-y/6256781302.jpg					
